Mağaza,X_Koordinat,Y_Koordinat,Ürün,Fiyat,Color
Gida_Magaza_0,5.16817211686077,53.1354631568148,Salam,112.41,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Avakado,16.01,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Mayonez,186.12,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Ceviz,143.39,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Redbull,88.67,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Meyve Suyu,123.69,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Şeker,91.66,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Pasta Kreması,98.41,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Patlıcan,178.49,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Nutella,40.61,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Portakal,29.7,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Zeytinyağı,10.52,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Balık,69.66,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Bisküvi,38.01,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Hurma,51.8,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Soğan,12.14,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Makarna,53.17,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Sirke,73.22,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Un,16.0,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Süt,125.5,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Pekmez,118.07,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Reçel,28.44,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Çikolata,123.05,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Gazoz,199.74,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Hardal,189.45,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Sarımsak,10.51,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Simit,161.12,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Pide,77.19,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Limonata,22.09,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Üzüm,66.24,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Havuç,71.13,yellow
Gida_Magaza_0,5.16817211686077,53.1354631568148,Fıstık,109.42,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Bisküvi,135.61,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Makarna,152.32,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Mısır Gevreği,56.72,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Kaşar Peyniri,71.14,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Çilek,68.59,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Zeytinyağı,78.92,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Ceviz,199.93,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Nar Ekşisi,157.81,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Brokoli,195.25,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Sucuk,141.69,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Yulaf,87.19,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Kuru Üzüm,84.05,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Tavuk,102.83,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Badem,89.21,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Yoğurt,167.38,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Kuruyemiş,98.35,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Karnabahar,66.17,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Maden Suyu,157.22,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Fıstık Ezmesi,172.34,yellow
Gida_Magaza_1,54.06351216101065,63.742990149820656,Balık,89.88,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Salatalık,136.88,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Domates,21.17,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Şarap,110.6,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Patlıcan,18.55,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Sucuk,15.55,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Brokoli,126.46,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Mandalina,67.63,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Çekirdek,151.08,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Tereyağı,180.26,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Ekmek,36.48,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Pastırma,147.66,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Hurma,107.76,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Reçel,31.3,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Nutella,133.8,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Fındık,125.8,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Ceviz,107.97,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Maydonoz,186.03,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Karpuz,109.01,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Soğan,198.2,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Salam,106.75,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Kabartma Tozu,32.01,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Gazoz,99.39,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,İrmik,44.64,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Zeytinyağı,123.46,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Havuç,141.7,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Kola,99.0,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Kaşar Peyniri,28.56,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Tavuk,99.04,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Fasulye,25.48,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Kırmızı Et,139.6,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Pudra Şekeri,160.17,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Kakao,192.85,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Meyve Suyu,38.27,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Mayonez,111.16,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Marul,117.83,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Şeker,185.27,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Kuruyemiş,129.18,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Şalgam,37.65,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Erik,92.91,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Kuru Üzüm,134.4,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Rakı,143.05,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Espresso,173.98,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Beyaz Peynir,44.3,yellow
Gida_Magaza_2,72.60913337226616,97.58520794625346,Avakado,190.79,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Muz,21.24,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Ekmek,196.91,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Pirinç,172.98,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Kakao,135.45,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Un,149.65,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Yulaf,23.81,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Kahve,17.88,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Elma,29.34,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Sirke,26.6,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Sarımsak,114.0,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Badem,50.93,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Tavuk,173.44,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Bulgur,94.69,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Fıstık Ezmesi,142.15,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Türk Kahvesi,134.05,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Tereyağı,101.79,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Mercimek,56.2,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Nar Ekşisi,75.07,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Redbull,161.37,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Nutella,121.39,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Kaju,58.17,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Domates,165.39,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Brokoli,20.4,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Acı Sos,142.84,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Mısır Unu,93.43,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Hardal,148.95,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Lavaş,186.22,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Kabartma Tozu,152.51,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Fındık,93.97,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Fıstık,38.69,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Pide,163.21,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Ayçiçek Yağı,97.53,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Ayran,24.31,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Kuru Üzüm,146.62,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Soda,65.45,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Kırmızı Et,19.29,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Gazoz,181.52,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Tereyağı,101.79,yellow
Gida_Magaza_3,51.630034830119534,32.2956472941246,Yeşil Çay,63.38,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Yulaf,146.11,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Karpuz,178.32,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Maydonoz,10.06,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Kaju,140.69,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Pirinç,155.73,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Bulgur,49.89,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Süt,103.03,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Sosis,26.96,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Bisküvi,151.88,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Balık,171.02,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Muz,30.56,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Pekmez,165.13,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Sirke,156.6,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Brokoli,75.91,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Ekmek,141.16,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Lavaş,10.01,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Un,187.04,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Kuruyemiş,114.57,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Ayran,127.86,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Limon,136.29,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Patates,116.66,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Kırmızı Et,172.79,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Fındık,125.84,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Kaşar Peyniri,182.47,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Çilek,120.64,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Kakao,42.51,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Nohut,183.58,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Mayonez,139.51,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Mercimek,142.86,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Mısır Unu,197.24,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Nar Ekşisi,24.29,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Makarna,91.43,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Fasulye,55.43,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Üzüm,129.78,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Pide,163.29,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Fıstık Ezmesi,193.6,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Salatalık,96.37,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Nutella,159.38,yellow
Gida_Magaza_4,79.51861947687037,27.083225126207424,Salam,184.24,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Yulaf,139.83,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Türk Kahvesi,56.12,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Ekmek,125.49,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Elma,194.29,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Makarna,197.64,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Mayonez,132.05,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Mısır Gevreği,178.53,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Marul,48.07,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Süt,56.75,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Zeytinyağı,191.05,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Limonata,35.69,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Bulgur,46.31,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Yoğurt,89.9,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,İrmik,122.02,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Salatalık,124.73,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Fasulye,65.48,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Nutella,184.92,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Kuruyemiş,183.87,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Portakal,84.49,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Simit,92.52,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Pekmez,143.47,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Şeker,135.97,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Espresso,82.64,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Hurma,88.71,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Kırmızı Et,76.13,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Sirke,54.72,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Pirinç,97.05,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Sosis,140.42,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Bisküvi,150.97,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Mısır Unu,157.99,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Karnabahar,81.2,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Bal,155.28,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Tavuk,11.24,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Mercimek,100.64,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Yeşil Çay,160.84,yellow
Gida_Magaza_5,43.89714207056361,7.845638134226595,Salam,129.71,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Bal,100.07,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Pirinç,132.48,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Sucuk,182.32,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Türk Kahvesi,117.61,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Tavuk,161.96,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Salatalık,196.34,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Brokoli,144.06,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Muz,118.93,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Çay,17.12,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Kaju,81.15,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Peynir,117.43,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Pasta Kreması,161.47,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Ceviz,93.24,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Acı Sos,192.41,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Kuru Üzüm,61.64,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Avakado,151.47,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Şarap,89.62,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Tereyağı,82.99,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Marul,162.48,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Yulaf,66.28,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Soda,28.39,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Fıstık,108.85,yellow
Gida_Magaza_6,2.535074341545751,96.26484146779252,Mercimek,110.47,yellow
